reg_date,temperature
"2023-06-01 15:48:09",27.32
"2023-06-01 15:48:15",27.32
"2023-06-01 15:48:18",27.32
"2023-06-01 15:48:24",27.32
"2023-06-01 15:48:27",27.32
"2023-06-01 15:48:33",27.32
"2023-06-01 15:48:39",27.32
"2023-06-01 15:48:42",27.32
"2023-06-01 15:48:48",27.32
"2023-06-01 15:48:54",27.32
"2023-06-01 15:48:57",27.32
"2023-06-01 15:49:03",27.32
"2023-06-01 15:49:09",27.32
"2023-06-01 15:49:12",27.32
"2023-06-01 15:49:18",27.32
"2023-06-01 15:49:24",27.32
"2023-06-01 15:49:27",27.32
"2023-06-01 15:49:33",27.32
"2023-06-01 15:49:39",27.32
"2023-06-01 15:49:42",27.32
"2023-06-01 15:49:48",27.32
"2023-06-01 15:49:54",27.32
"2023-06-01 15:49:57",27.32
"2023-06-01 15:50:03",27.32
"2023-06-01 15:50:09",27.32
"2023-06-01 15:50:12",27.32
"2023-06-01 15:50:18",27.32
"2023-06-01 15:50:24",27.32
"2023-06-01 15:50:27",27.32
"2023-06-01 15:50:33",27.32
"2023-06-01 15:50:39",27.32
"2023-06-01 15:50:42",27.32
"2023-06-01 15:50:48",27.32
"2023-06-01 15:50:54",27.32
"2023-06-01 15:50:57",27.32
"2023-06-01 15:51:03",27.32
"2023-06-01 15:51:09",27.32
"2023-06-01 15:51:12",27.32
"2023-06-01 15:51:18",27.32
"2023-06-01 15:51:24",27.32
"2023-06-01 15:51:27",27.32
"2023-06-01 15:51:33",27.32
"2023-06-01 15:51:39",27.32
"2023-06-01 15:51:48",27.32
"2023-06-01 15:51:54",27.32
"2023-06-01 15:51:57",27.32
"2023-06-01 15:52:03",27.32
"2023-06-01 15:52:09",27.32
"2023-06-01 15:52:12",27.33
"2023-06-01 15:52:18",27.32
"2023-06-01 15:52:24",27.32
"2023-06-01 15:52:27",27.32
"2023-06-01 15:52:33",27.32
"2023-06-01 15:52:39",27.32
"2023-06-01 15:52:42",27.32
"2023-06-01 15:52:48",27.32
"2023-06-01 15:52:54",27.32
"2023-06-01 15:52:57",27.32
"2023-06-01 15:53:03",27.32
"2023-06-01 15:53:09",27.32
"2023-06-01 15:53:12",27.32
"2023-06-01 15:53:18",27.33
"2023-06-01 15:53:24",27.32
"2023-06-01 15:53:27",27.32
"2023-06-01 15:53:33",27.33
"2023-06-01 15:53:39",27.32
"2023-06-01 15:53:42",27.32
"2023-06-01 15:53:48",27.32
"2023-06-01 15:53:54",27.32
"2023-06-01 15:53:57",27.32
"2023-06-01 15:54:03",27.32
"2023-06-01 15:54:09",27.32
"2023-06-01 15:54:12",27.32
"2023-06-01 15:54:18",27.32
"2023-06-01 15:54:24",27.32
"2023-06-01 15:54:27",27.32
"2023-06-01 15:54:33",27.32
"2023-06-01 15:54:39",27.32
"2023-06-01 15:54:42",27.32
"2023-06-01 15:54:48",27.32
"2023-06-01 15:54:54",27.32
"2023-06-01 15:54:57",27.32
"2023-06-01 15:55:03",27.32
"2023-06-01 15:55:09",27.32
"2023-06-01 15:55:12",27.32
"2023-06-01 15:55:18",27.33
"2023-06-01 15:55:24",27.33
"2023-06-01 15:55:27",27.32
"2023-06-01 15:55:33",27.33
"2023-06-01 15:55:39",27.32
"2023-06-01 15:55:42",27.32
"2023-06-01 15:55:48",27.32
"2023-06-01 15:55:54",27.33
"2023-06-01 15:55:57",27.32
"2023-06-01 15:56:04",27.32
"2023-06-01 15:56:10",27.32
"2023-06-01 15:56:19",27.32
"2023-06-01 15:56:25",27.32
"2023-06-01 15:56:28",27.32
"2023-06-01 15:56:34",27.33
"2023-06-01 15:56:37",27.32
"2023-06-01 15:56:43",27.32
"2023-06-01 15:56:49",27.33
"2023-06-01 15:56:52",27.32
"2023-06-01 15:56:58",27.33
"2023-06-01 15:57:04",27.33
"2023-06-01 15:57:07",27.32
"2023-06-01 15:57:13",27.32
"2023-06-01 15:57:19",27.32
"2023-06-01 15:57:22",27.33
"2023-06-01 15:57:28",27.33
"2023-06-01 15:57:34",27.33
"2023-06-01 15:57:37",27.33
"2023-06-01 15:57:43",27.32
"2023-06-01 15:57:49",27.32
"2023-06-01 15:57:52",27.33
"2023-06-01 15:57:58",27.33
"2023-06-01 15:58:04",27.32
"2023-06-01 15:58:07",27.33
"2023-06-01 15:58:13",27.33
"2023-06-01 15:58:19",27.32
"2023-06-01 15:58:22",27.32
"2023-06-01 15:58:28",27.32
"2023-06-01 15:58:34",27.32
"2023-06-01 15:58:37",27.33
"2023-06-01 15:58:43",27.33
"2023-06-01 15:58:49",27.33
"2023-06-01 15:58:52",27.32
"2023-06-01 15:58:58",27.32
"2023-06-01 15:59:04",27.32
"2023-06-01 15:59:07",27.32
"2023-06-01 15:59:13",27.32
"2023-06-01 15:59:19",27.32
"2023-06-01 15:59:22",27.32
"2023-06-01 15:59:28",27.32
"2023-06-01 15:59:34",27.32
"2023-06-01 15:59:37",27.32
"2023-06-01 15:59:43",27.33
"2023-06-01 15:59:49",27.32
"2023-06-01 15:59:52",27.33
"2023-06-01 15:59:58",27.32
"2023-06-01 16:00:04",27.32
"2023-06-01 16:00:07",27.33
"2023-06-01 16:00:13",27.32
"2023-06-01 16:00:19",27.32
"2023-06-01 16:00:22",27.32
"2023-06-01 16:00:28",27.32
"2023-06-01 16:00:34",27.32
"2023-06-01 16:00:37",27.32
"2023-06-01 16:00:43",27.32
"2023-06-01 16:00:49",27.33
"2023-06-01 16:00:52",27.33
"2023-06-01 16:00:58",27.32
"2023-06-01 16:01:04",27.32
"2023-06-01 16:01:07",27.33
"2023-06-01 16:01:13",27.33
"2023-06-01 16:01:19",27.32
"2023-06-01 16:01:22",27.33
"2023-06-01 16:01:28",27.33
"2023-06-01 16:01:34",27.33
"2023-06-01 16:01:37",27.33
"2023-06-01 16:01:43",27.33
"2023-06-01 16:01:49",27.32
"2023-06-01 16:01:52",27.32
"2023-06-01 16:01:58",27.33
"2023-06-01 16:02:04",27.32
"2023-06-01 16:02:07",27.32
"2023-06-01 16:02:13",27.32
"2023-06-01 16:02:19",27.32
"2023-06-01 16:02:22",27.32
"2023-06-01 16:02:28",27.32
"2023-06-01 16:02:34",27.32
"2023-06-01 16:02:37",27.32
"2023-06-01 16:02:43",27.32
"2023-06-01 16:02:49",27.32
"2023-06-01 16:02:52",27.32
"2023-06-01 16:02:58",27.33
"2023-06-01 16:03:04",27.33
"2023-06-01 16:03:07",27.33
"2023-06-01 16:03:13",27.33
"2023-06-01 16:03:19",27.33
"2023-06-01 16:03:22",27.32
"2023-06-01 16:03:28",27.32
"2023-06-01 16:03:34",27.33
"2023-06-01 16:03:37",27.32
"2023-06-01 16:03:43",27.33
"2023-06-01 16:03:49",27.33
"2023-06-01 16:03:52",27.33
"2023-06-01 16:03:59",27.33
"2023-06-01 16:04:05",27.33
"2023-06-01 16:04:08",27.33
"2023-06-01 16:04:14",27.33
"2023-06-01 16:04:20",27.33
"2023-06-01 16:04:23",27.32
"2023-06-01 16:04:29",27.32
"2023-06-01 16:04:32",27.33
"2023-06-01 16:04:38",27.33
"2023-06-01 16:04:44",27.32
"2023-06-01 16:04:50",27.32
"2023-06-01 16:04:53",27.33
"2023-06-01 16:04:59",27.32
"2023-06-01 16:05:02",27.33
"2023-06-01 16:05:08",27.33
"2023-06-01 16:05:14",27.32
"2023-06-01 16:05:17",27.32
"2023-06-01 16:05:23",27.34
"2023-06-01 16:05:29",27.32
"2023-06-01 16:05:32",27.33
"2023-06-01 16:05:38",27.33
"2023-06-01 16:05:44",27.33
"2023-06-01 16:05:47",27.33
"2023-06-01 16:05:53",27.33
"2023-06-01 16:05:59",27.32
"2023-06-01 16:06:02",27.33
"2023-06-01 16:06:08",27.33
"2023-06-01 16:06:14",27.33
"2023-06-01 16:06:17",27.33
"2023-06-01 16:06:23",27.33
"2023-06-01 16:06:29",27.33
"2023-06-01 16:06:32",27.33
"2023-06-01 16:06:38",27.33
"2023-06-01 16:06:44",27.33
"2023-06-01 16:06:53",27.33
"2023-06-01 16:06:59",27.33
"2023-06-01 16:07:02",27.33
